Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T050_001,SE_T051_001,SE_T051_002,SE_T051_003,SE_T051_004,SE_T051_005,SE_T056_001,SE_T056_002,SE_T056_003
"35C","35-C","140","4210103503000","42","101",6060,6060,5075,981,4,10,10,9,1,0,1,9,5,4
"35D","35-D","140","4210103504000","42","101",311,311,311,0,0,92,92,84,8,4,4,84,57,27
"35E","35-E","140","4210103505000","42","101",473,473,473,0,0,133,133,128,5,5,0,128,89,39
"35F","35-F","140","4210103506000","42","101",47,47,39,8,0,9,9,9,0,0,0,9,7,2
"35G","35-G","140","4210103507000","42","101",338,338,337,1,0,100,100,96,4,2,2,96,46,50
"35H","35-H","140","4210103508000","42","101",41,41,41,0,0,7,7,7,0,0,0,7,0,7
"35I","35-I","140","4210103509000","42","101",116,116,115,1,0,30,30,29,1,1,0,29,14,15
"35J","35-J","140","4210103510000","42","101",91,91,91,0,0,22,22,21,1,0,1,21,11,10
"35K","35-K","140","4210103511000","42","101",267,267,261,6,0,70,70,63,7,7,0,63,42,21
"35L","35-L","140","4210103512000","42","101",293,293,289,4,0,71,71,68,3,2,1,68,48,20
"35M","35-M","140","4210103513000","42","101",160,160,159,1,0,35,35,35,0,0,0,35,19,16
"35N","35-N","140","4210103514000","42","101",59,59,55,4,0,12,12,12,0,0,0,12,4,8
"35O","35-O","140","4210103515000","42","101",69,69,64,5,0,20,20,18,2,2,0,18,11,7
"35P","35-P","140","4210103516000","42","101",85,85,85,0,0,19,19,19,0,0,0,19,8,11
"35Q","35-Q","140","4210103517000","42","101",1037,1037,1037,0,0,289,289,278,11,8,3,278,157,121
"35R","35-R","140","4210103518000","42","101",140,140,140,0,0,37,37,37,0,0,0,37,19,18
"35S","35-S","140","4210103519000","42","101",462,462,435,27,0,106,106,96,10,9,1,96,65,31
"35T","35-T","140","4210103520000","42","101",200,200,130,70,0,39,39,36,3,3,0,36,15,21
"35U","35-U","140","4210103521000","42","101",218,218,218,0,0,51,51,50,1,1,0,50,24,26
"35V","35-V","140","4210103522000","42","101",108,108,106,2,0,12,12,10,2,2,0,10,4,6
"35W","35-W","140","4210103523000","42","101",631,631,630,1,0,74,74,71,3,3,0,71,37,34
"35X","35-X","140","4210103524000","42","101",6,6,5,1,0,2,2,2,0,0,0,2,0,0
"35Y","35-Y","140","4210103525000","42","101",1587,1587,1584,3,0,429,429,419,10,9,1,419,296,123
"35Z","35-Z","140","4210103526000","42","101",1717,1717,1710,6,1,491,491,476,15,13,2,476,261,215
"35AA","35-AA","140","4210103527000","42","101",333,333,333,0,0,89,89,86,3,2,1,86,53,33
"35BB","35-BB","140","4210103528000","42","101",34,34,34,0,0,8,8,8,0,0,0,8,2,6
"35CC","35-CC","140","4210103529000","42","101",896,896,896,0,0,258,258,245,13,12,1,245,184,61
